drive,stop_distance,k_cross,k_heading,success,reason,cross_track_m,endpoint_distance_m,terminal_speed_mps,steps
0.5,0.8,1.2,0.8,0,2,1.50730299949646,1.7269792556762695,0.5404166579246521,743
0.65,1.6,0.6,1.5,0,2,1.5108200311660767,1.5346750020980835,0.5722237825393677,745
0.65,1.6,1.2,0.8,0,2,1.50202214717865,1.6911736726760864,0.6615384817123413,746
0.5,0.8,1.2,0.8,0,2,1.5022081136703491,1.6851025819778442,0.5545276999473572,747
0.5,0.8,0.6,0.8,0,2,1.5071616172790527,1.6693247556686401,0.5410397052764893,755
0.65,0.8,1.2,0.8,0,2,1.5037287473678589,2.0789554119110107,0.7217162251472473,755
0.5,0.8,1.2,0.8,0,2,1.5052518844604492,1.6052685976028442,0.5507041215896606,759
0.65,1.6,0.6,1.5,0,2,1.5003020763397217,1.5014081001281738,0.5619034171104431,759
0.65,1.6,0.6,0.8,0,2,1.5009349584579468,1.5978437662124634,0.6136439442634583,760
0.5,0.8,1.2,0.8,0,2,1.5039691925048828,1.5134788751602173,0.5490162372589111,762
0.5,0.8,0.6,0.8,0,2,1.5031352043151855,1.5989782810211182,0.5428533554077148,763
0.5,0.8,0.6,1.5,0,2,1.5009849071502686,1.5631898641586304,0.5427910685539246,767
0.5,0.8,0.6,1.5,0,2,1.5065655708312988,1.566399097442627,0.5447460412979126,768
0.5,0.8,0.6,0.8,0,2,1.5037546157836914,1.5745731592178345,0.5420514941215515,769
0.65,1.6,0.6,0.8,0,2,1.5027124881744385,1.568756341934204,0.5995399951934814,769
0.65,0.8,1.2,0.8,0,2,1.502270221710205,2.3352575302124023,0.694219708442688,771
0.5,1.2,1.2,1.5,0,2,1.5008457899093628,2.3760058879852295,0.5533416271209717,772
0.5,1.2,1.2,0.8,0,2,1.5099430084228516,2.122373580932617,0.5538377165794373,773
0.5,0.8,1.2,0.8,0,2,1.5062103271484375,1.5074927806854248,0.5457234382629395,775
0.5,0.8,1.2,1.5,0,2,1.508190393447876,1.528620719909668,0.5578902363777161,775
0.5,0.8,0.6,0.8,0,2,1.5090068578720093,1.5562870502471924,0.5465308427810669,776
0.65,1.6,1.2,0.8,0,2,1.5011768341064453,2.611387252807617,0.7219948768615723,777
0.5,0.8,0.6,0.8,0,2,1.5037856101989746,1.5596873760223389,0.5434706211090088,778
0.5,1.2,0.6,1.5,0,2,1.5010721683502197,1.8156121969223022,0.5470735430717468,778
0.65,1.2,1.2,0.8,0,2,1.505405068397522,2.2938342094421387,0.6958273649215698,778
0.5,0.8,0.6,0.8,0,2,1.5048222541809082,1.5566375255584717,0.5453500747680664,779
0.5,1.2,1.2,0.8,0,2,1.5086255073547363,1.7548675537109375,0.5449721813201904,784
0.65,0.8,1.2,0.8,0,2,1.5067877769470215,2.4467055797576904,0.7098225355148315,786
0.65,1.6,1.2,1.5,0,2,1.505826711654663,1.509050965309143,0.5785185098648071,786
0.5,1.2,0.6,1.5,0,2,1.504741907119751,1.8882958889007568,0.5462126135826111,788
0.65,1.6,1.2,1.5,0,2,1.506380319595337,1.507157802581787,0.5740769505500793,790
0.5,0.8,1.2,1.5,0,2,1.5032552480697632,1.5035513639450073,0.5398181080818176,791
0.5,1.2,1.2,0.8,0,2,1.50589919090271,1.6936867237091064,0.5449072122573853,792
0.5,0.8,1.2,1.5,0,2,1.5026578903198242,1.5621150732040405,0.5434262156486511,793
0.65,1.2,1.2,1.5,0,2,1.5045714378356934,2.301647186279297,0.7151215672492981,794
0.65,1.6,0.6,0.8,0,2,1.508634090423584,1.7281053066253662,0.6521335244178772,794
0.5,1.2,1.2,0.8,0,2,1.506218671798706,1.6639561653137207,0.5433072447776794,795
0.5,1.2,0.6,0.8,0,2,1.5015101432800293,2.069343090057373,0.5503674745559692,798
0.65,1.2,0.6,0.8,0,2,1.5026888847351074,2.040893793106079,0.7126607298851013,798
0.65,1.6,0.6,1.5,0,2,1.509164810180664,1.5114576816558838,0.573930561542511,798
0.5,0.8,0.6,0.8,0,2,1.5053560733795166,1.524788737297058,0.5415259599685669,799
0.5,0.8,1.2,0.8,0,2,1.5078403949737549,1.5081475973129272,0.5361295342445374,799
0.5,1.2,1.2,0.8,0,2,1.5006036758422852,1.5219345092773438,0.5310394167900085,803
0.65,1.6,1.2,1.5,0,2,1.5096467733383179,1.5149435997009277,0.5754852890968323,808
0.5,0.8,0.6,0.8,0,2,1.5044665336608887,1.52802312374115,0.5360775589942932,809
